id,member_id,start_date,end_date,status,equifax_rejected_at,braintree_subscription_id,braintree_plan_id,created_at,updated_at,deleted_at,payment_method_id,error_codes,error_messages,equifax_deleted_at,price,error_data,equifax_accepted_at,braintree_discount_id,discount_amount,discount_description,discount_billing_cycles,billing_frequency_in_months,is_mini_service_bundle
1982,2526,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1983,2548,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1984,2562,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1985,2612,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1986,2657,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1987,2661,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1988,2679,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1989,2710,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1990,2800,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1991,2830,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1992,2917,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1993,2930,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1994,2941,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1995,2952,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1996,2964,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1997,2989,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1998,2996,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1999,3017,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
2000,3055,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
2001,3062,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
2002,3074,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
2003,3079,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
2004,3096,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
2005,3124,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
2006,3132,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
2007,3137,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
2008,3138,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
2009,3170,"2018-04-25 17:03:47",,active,,,id_protect,"2018-04-25 17:03:47","2018-04-25 17:03:47",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
